aX,aY,aZ,gX,gY,gZ
0.22,9.58,9.90,0.14,0.24,-0.11
0.22,9.56,10.09,0.14,0.26,-0.12
0.17,9.69,10.24,0.11,0.26,-0.12
-0.03,9.95,10.41,0.12,0.27,-0.11
0.00,10.19,10.61,0.19,0.28,-0.08
-0.31,10.15,10.72,0.27,0.29,-0.04
-0.15,9.97,11.53,0.31,0.30,0.02
-0.16,9.18,12.67,0.26,0.28,0.05
0.00,9.25,14.14,0.07,0.21,0.03
0.21,10.23,15.34,-0.01,0.10,0.03
0.06,10.63,16.64,0.07,0.01,0.06
-0.01,10.77,17.82,0.17,-0.09,0.05
0.13,11.23,18.80,0.29,-0.21,-0.00
0.42,11.66,19.71,0.46,-0.34,-0.03
0.37,11.68,20.39,0.63,-0.52,-0.04
0.63,11.93,21.19,0.73,-0.72,0.01
0.50,11.46,21.83,0.70,-0.97,0.09
0.46,10.82,22.46,0.49,-1.25,0.14
0.33,11.08,22.25,0.16,-1.60,0.19
-0.42,10.81,20.96,-0.02,-1.93,0.25
-0.82,10.27,19.15,-0.11,-2.18,0.25
-1.60,9.52,17.37,-0.25,-2.36,0.20
-1.46,9.43,15.78,-0.30,-2.51,0.11
-1.52,9.66,14.75,-0.19,-2.66,0.06
-1.61,9.13,12.89,-0.08,-2.89,0.06
-2.46,8.48,10.16,-0.33,-3.05,0.04
-3.09,8.89,6.93,-0.82,-3.10,0.07
-3.73,9.54,3.47,-1.22,-2.98,0.11
-4.14,10.09,0.44,-1.07,-2.75,0.03
-4.02,10.39,-2.04,-0.62,-2.46,-0.10
-4.12,10.96,-4.51,-0.07,-2.13,-0.25
-4.19,11.41,-7.05,0.30,-1.82,-0.32
-4.39,11.72,-9.84,0.43,-1.48,-0.22
-4.35,10.84,-12.16,0.17,-1.06,-0.02
-4.15,10.14,-14.05,-0.34,-0.62,0.20
-4.02,9.34,-16.08,-0.68,-0.15,0.35
-3.98,8.40,-17.70,-0.60,0.41,0.40
-4.36,7.82,-18.16,-0.32,1.02,0.32
-4.75,6.97,-17.09,0.02,1.72,0.19
-4.81,6.56,-14.80,-0.03,2.30,0.09
-4.59,6.56,-11.64,-0.33,2.81,0.10
-4.60,6.69,-8.53,-0.53,3.16,0.16
-4.75,6.44,-6.09,-0.51,3.50,0.15
-5.17,7.47,-2.30,-0.37,3.85,0.06
-5.51,8.50,1.83,-0.08,4.08,0.00
-5.93,8.45,5.36,0.07,4.17,0.00
-6.51,8.28,7.97,0.02,4.19,0.04
-6.99,7.71,10.59,-0.07,4.22,0.04
-6.97,8.87,13.97,-0.11,4.25,-0.08
-6.60,10.23,18.04,0.07,4.19,-0.13
-5.95,10.83,20.95,0.21,4.04,-0.15
-5.24,11.59,23.74,0.18,3.80,-0.12
-5.39,11.99,25.46,0.23,3.51,-0.06
-5.44,12.19,27.33,0.30,3.24,-0.05
-5.00,12.40,29.42,0.37,2.93,-0.05
-4.27,12.79,31.15,0.38,2.60,-0.03
-3.47,12.68,32.49,0.33,2.22,0.04
-2.64,12.25,33.53,0.26,1.83,0.10
-2.13,12.00,34.36,0.25,1.43,0.14
-1.59,11.74,34.98,0.30,0.97,0.17
-1.29,11.39,35.18,0.30,0.48,0.21
-1.39,11.19,34.57,0.26,-0.03,0.26
-1.65,10.72,33.67,0.30,-0.50,0.28
-2.07,10.32,32.05,0.43,-0.95,0.28
-2.31,9.58,30.54,0.65,-1.32,0.23
-2.46,8.77,29.40,0.75,-1.67,0.17
-2.66,8.43,27.89,0.73,-2.05,0.14
-3.10,7.80,25.60,0.61,-2.40,0.13
-3.56,7.50,23.28,0.34,-2.66,0.11
-4.10,8.21,21.37,0.14,-2.89,0.06
-4.69,8.39,20.01,0.22,-3.11,-0.00
-5.05,8.26,18.63,0.25,-3.33,-0.08
-4.81,8.72,17.49,0.01,-3.57,-0.11
-4.08,9.40,15.26,-0.39,-3.87,-0.05
-3.14,9.76,12.33,-0.71,-4.16,0.02
-3.30,10.31,7.60,-0.74,-4.43,0.06
-4.19,10.24,2.36,-0.37,-4.50,0.00
-6.05,9.32,-2.48,0.16,-4.29,-0.17
-6.85,9.71,-6.37,0.42,-3.91,-0.39
-6.29,10.72,-8.59,0.31,-3.48,-0.41
-5.88,11.53,-10.36,-0.03,-3.04,-0.26
-5.47,11.46,-12.82,-0.26,-2.61,-0.10
-5.49,11.92,-15.40,-0.28,-2.08,-0.05
-5.43,12.29,-16.81,0.04,-1.49,0.02
-5.54,11.61,-16.95,0.19,-0.84,0.11
-4.96,11.12,-16.32,-0.00,-0.29,0.23
-4.27,10.17,-15.58,-0.33,0.24,0.41
-3.66,8.52,-15.27,-0.61,0.74,0.54
-3.24,7.54,-14.90,-0.73,1.30,0.55
-3.12,7.04,-13.35,-0.59,1.88,0.47
-3.34,6.88,-10.42,-0.40,2.43,0.37
-3.25,7.51,-6.62,-0.26,2.83,0.28
-3.62,7.77,-3.61,-0.13,3.10,0.30
-4.24,7.08,-1.50,-0.13,3.30,0.28
-4.92,6.68,0.11,-0.20,3.49,0.25
-5.91,5.84,1.16,-0.26,3.67,0.22
-6.94,5.84,3.01,-0.36,3.94,0.12
-7.05,6.80,7.21,-0.28,4.23,-0.07
-6.99,7.85,12.10,-0.11,4.34,-0.21
-6.62,8.47,16.17,-0.04,4.25,-0.24
-6.48,8.80,19.27,-0.11,4.05,-0.19
-5.96,9.19,21.42,-0.21,3.80,-0.13
-5.45,9.83,24.15,-0.18,3.61,-0.12
-4.79,10.59,27.44,-0.07,3.33,-0.15
-3.87,11.51,30.22,0.07,2.98,-0.17
-3.10,11.99,32.46,0.29,2.63,-0.15
-2.34,12.11,33.66,0.51,2.18,-0.11
-1.62,11.88,34.47,0.69,1.68,-0.06
-1.43,11.69,34.26,0.73,1.18,0.02
-1.54,11.31,34.15,0.72,0.75,0.06
-1.27,10.80,34.08,0.70,0.32,0.06
-1.00,10.50,33.75,0.66,-0.13,0.03
-0.98,10.50,33.04,0.72,-0.59,0.00
-1.06,10.14,31.99,0.80,-1.10,0.01
-1.43,9.56,30.32,0.87,-1.57,0.01
-1.79,9.05,28.48,0.79,-1.99,0.04
-2.43,8.36,26.23,0.61,-2.38,0.05
-3.05,7.62,23.21,0.37,-2.69,0.01
-3.10,7.25,19.86,0.16,-2.90,-0.07
-2.44,7.47,15.61,-0.14,-3.05,-0.16
0.39,9.97,10.06,-0.00,0.27,-0.12
0.39,9.84,10.03,0.01,0.26,-0.11
0.35,9.79,10.18,0.00,0.26,-0.10
0.35,9.77,10.28,0.01,0.26,-0.10
0.42,9.96,10.50,0.02,0.24,-0.09
0.49,9.92,10.58,0.03,0.22,-0.06
0.50,9.72,10.67,0.01,0.20,-0.03
0.46,9.79,10.57,-0.02,0.20,-0.03
0.57,10.00,10.60,-0.00,0.20,-0.02
0.45,10.02,10.69,0.05,0.22,0.01
0.50,10.09,10.86,0.11,0.25,0.04
0.64,10.08,11.32,0.17,0.28,0.07
0.81,10.01,11.90,0.19,0.31,0.10
1.06,10.02,12.75,0.16,0.32,0.16
1.12,9.81,14.07,0.09,0.31,0.23
1.19,10.17,15.61,-0.06,0.24,0.31
0.85,9.78,17.38,-0.21,0.15,0.42
0.76,8.28,19.78,-0.26,-0.01,0.32
0.77,8.47,21.81,-0.29,-0.26,0.04
1.16,9.98,23.44,-0.26,-0.54,-0.18
1.34,11.52,24.54,-0.19,-0.86,-0.22
1.13,12.00,25.42,-0.15,-1.21,-0.10
0.66,11.47,25.58,-0.15,-1.65,0.08
-0.22,10.16,24.21,-0.31,-2.15,0.22
-1.05,9.39,21.43,-0.47,-2.56,0.23
