aX,aY,aZ,gX,gY,gZ
-3.18,-0.43,-23.09,0.50,-1.07,0.16
-2.38,-0.67,-19.64,0.42,-0.42,0.24
-2.33,-2.05,-15.84,0.41,0.02,0.28
-2.13,-2.96,-12.53,0.41,0.28,0.19
-1.75,-2.91,-9.36,0.50,0.41,0.01
-1.46,-2.41,-6.84,0.52,0.46,-0.13
0.45,-0.04,0.97,-0.14,-0.06,0.00
0.46,0.12,1.18,-0.14,-0.09,0.02
0.58,0.32,1.12,-0.15,-0.14,0.04
0.49,0.44,0.98,-0.12,-0.19,0.06
0.42,0.37,0.98,-0.06,-0.26,0.06
0.40,0.25,0.86,-0.04,-0.30,0.07
0.30,0.15,0.63,-0.06,-0.33,0.08
0.21,-0.03,0.36,-0.06,-0.35,0.10
0.08,-0.31,-0.01,-0.08,-0.37,0.11
0.08,-0.44,-0.24,-0.10,-0.39,0.09
0.07,-0.60,-0.91,-0.11,-0.43,0.08
0.28,-0.72,-1.49,-0.14,-0.45,0.06
0.72,-0.79,-2.47,-0.19,-0.48,0.07
0.90,-1.06,-3.63,-0.15,-0.55,0.05
0.70,-1.38,-5.49,0.02,-0.70,-0.00
0.15,-1.83,-7.79,0.21,-0.88,-0.08
-0.27,-2.04,-10.45,0.33,-1.02,-0.17
-1.16,-2.17,-14.16,0.51,-1.00,-0.34
-1.20,-1.88,-17.19,0.73,-0.77,-0.49
-1.99,-2.06,-19.77,0.80,-0.29,-0.55
-2.71,-2.40,-20.89,0.72,0.39,-0.53
-3.35,-2.44,-20.53,0.50,1.13,-0.45
-4.04,-2.45,-19.78,0.21,1.80,-0.36
-4.58,-2.20,-18.09,0.06,2.38,-0.34
-4.84,-1.81,-15.90,-0.02,2.88,-0.38
-4.70,-1.49,-13.13,0.11,3.26,-0.46
-4.46,-1.31,-10.03,0.32,3.48,-0.52
-4.45,-1.05,-7.28,0.36,3.63,-0.56
-4.39,-0.32,-4.62,0.30,3.77,-0.53
-4.44,-0.05,-1.98,0.17,3.87,-0.40
-4.58,0.07,0.42,0.03,3.98,-0.29
-4.45,0.14,2.98,0.01,3.99,-0.24
-4.52,-0.20,5.23,0.13,3.94,-0.28
-4.45,-0.19,7.93,0.29,3.88,-0.40
-3.75,0.03,11.18,0.45,3.80,-0.52
-2.88,0.45,14.45,0.45,3.65,-0.54
-2.01,0.63,17.37,0.32,3.47,-0.47
-1.24,0.99,20.19,0.17,3.24,-0.38
-0.26,1.44,23.45,-0.02,2.85,-0.25
0.47,1.43,24.97,-0.23,2.31,-0.07
0.65,0.70,24.99,-0.27,1.76,0.02
0.45,-0.35,24.63,-0.15,1.24,-0.07
0.31,-0.82,24.80,-0.05,0.79,-0.24
0.12,-0.75,24.75,-0.11,0.38,-0.37
0.08,-0.28,24.28,-0.25,-0.01,-0.45
0.08,0.69,23.61,-0.35,-0.39,-0.51
0.54,2.01,23.29,-0.35,-0.79,-0.54
0.78,2.63,22.24,-0.35,-1.20,-0.48
0.84,3.17,21.01,-0.41,-1.56,-0.42
0.60,3.84,19.70,-0.47,-1.87,-0.33
0.25,3.72,18.57,-0.37,-2.18,-0.25
-0.51,3.25,17.95,-0.27,-2.49,-0.19
-0.98,2.63,16.99,-0.24,-2.81,-0.10
-1.73,1.68,15.88,-0.28,-3.11,-0.03
-2.38,1.58,14.92,-0.35,-3.42,0.05
-2.84,1.56,13.46,-0.38,-3.80,0.10
-3.47,1.79,11.06,-0.26,-4.18,0.12
-4.68,1.42,9.05,-0.05,-4.46,0.14
-5.81,1.23,7.06,0.06,-4.72,0.17
-6.57,0.70,4.66,0.03,-4.83,0.23
-7.27,0.42,2.87,-0.09,-4.89,0.36
-7.36,0.38,0.63,-0.24,-4.97,0.43
-7.33,0.85,-2.12,-0.31,-5.01,0.44
-8.16,1.60,-4.11,-0.22,-4.98,0.42
-8.60,2.94,-6.08,-0.08,-5.02,0.47
-9.04,3.19,-9.04,-0.02,-5.00,0.66
-9.69,1.55,-11.77,0.04,-4.87,0.86
-10.03,-1.15,-14.26,-0.07,-4.62,0.98
-10.09,-2.96,-17.12,-0.32,-4.29,0.95
-10.23,-3.32,-20.20,-0.39,-3.92,0.75
-9.93,-1.89,-22.55,-0.21,-3.58,0.50
-10.31,-1.00,-25.60,-0.02,-3.22,0.39
-10.34,-1.48,-28.65,0.11,-2.67,0.33
-10.06,-2.60,-30.55,0.13,-1.92,0.25
-9.60,-3.77,-31.16,0.13,-1.08,0.14
-9.54,-4.50,-30.72,0.07,-0.25,-0.05
-9.27,-3.81,-30.03,0.04,0.42,-0.26
-9.21,-2.50,-28.96,0.10,1.05,-0.43
-8.97,-1.57,-26.94,0.18,1.73,-0.55
-8.12,-0.80,-23.78,0.14,2.37,-0.59
-7.68,-0.04,-20.51,0.01,2.94,-0.55
-7.43,-0.14,-17.23,0.02,3.34,-0.47
-7.73,-0.74,-14.34,0.20,3.59,-0.50
-8.00,-1.01,-11.88,0.41,3.69,-0.61
-8.24,-1.17,-10.01,0.48,3.75,-0.70
-8.14,-0.86,-8.63,0.38,3.87,-0.75
-8.09,-0.58,-7.65,0.30,4.02,-0.75
-8.14,-0.38,-5.82,0.24,4.20,-0.75
-8.00,-0.04,-3.95,0.21,4.31,-0.71
-7.78,0.19,-2.14,0.22,4.34,-0.66
-7.92,1.03,-1.13,0.23,4.32,-0.63
-7.85,1.53,-0.03,0.35,4.34,-0.56
-7.63,1.44,1.66,0.48,4.38,-0.53
-7.31,1.40,3.57,0.46,4.39,-0.48
-6.89,0.98,5.73,0.37,4.39,-0.41
-6.33,0.52,8.11,0.25,4.36,-0.36
-5.84,0.97,10.79,0.11,4.26,-0.32
-4.94,1.52,13.30,0.09,4.06,-0.25
-4.09,1.76,16.06,0.08,3.83,-0.19
-2.82,2.40,18.87,-0.03,3.56,-0.11
-1.73,2.80,20.80,-0.10,3.22,0.01
-0.87,2.26,22.25,-0.07,2.88,0.13
0.10,1.38,23.83,-0.06,2.51,0.18
0.33,0.87,25.20,-0.17,2.05,0.24
0.31,0.87,25.78,-0.27,1.50,0.31
-0.05,0.44,25.11,-0.21,0.89,0.34
-0.53,-0.65,24.18,-0.03,0.34,0.26
-0.48,-1.33,23.16,0.04,-0.11,0.10
-0.67,-1.54,21.77,-0.06,-0.47,-0.03
-0.69,-1.62,20.40,-0.25,-0.72,-0.14
-0.44,-1.23,19.94,-0.48,-0.94,-0.22
-0.38,0.03,19.55,-0.68,-1.24,-0.26
0.10,1.86,18.91,-0.71,-1.65,-0.21
0.58,2.58,17.38,-0.60,-2.07,-0.10
0.95,2.45,15.24,-0.41,-2.44,-0.03
1.37,1.81,13.68,-0.19,-2.71,-0.02
0.93,0.97,12.49,-0.15,-2.91,0.02
0.36,0.23,11.23,-0.24,-3.10,0.08
-1.25,-0.15,9.86,-0.45,-3.24,0.17
-1.47,-0.36,7.78,-0.51,-3.51,0.20
-0.38,1.17,-1.70,-0.03,-0.78,0.10
-0.87,1.05,-3.27,-0.14,-0.71,0.16
-1.22,1.02,-4.87,-0.18,-0.57,0.18
-1.48,0.90,-6.35,-0.09,-0.45,0.14
-1.82,0.65,-7.11,0.19,-0.43,0.00
-2.06,0.99,-8.88,0.41,-0.54,-0.16
-2.80,1.42,-10.88,0.57,-0.53,-0.27
-3.17,1.40,-13.52,0.67,-0.39,-0.34
-3.21,1.23,-15.62,0.49,-0.02,-0.31
-3.08,1.17,-17.00,0.30,0.42,-0.25
-3.49,1.43,-17.46,0.19,0.91,-0.16
-4.46,1.28,-17.46,0.13,1.38,-0.07
-5.10,1.46,-16.83,0.09,1.80,-0.08
-5.46,1.93,-16.08,0.03,2.24,-0.04
-5.55,1.99,-14.59,0.02,2.70,0.07
-5.55,1.13,-12.59,0.01,3.07,0.15
-5.70,0.65,-10.02,-0.09,3.38,0.22
-5.91,0.36,-7.67,-0.20,3.58,0.26
-5.50,0.12,-5.82,-0.24,3.71,0.24
-5.22,0.53,-3.88,-0.19,3.85,0.20
-4.67,0.75,-1.12,-0.04,3.94,0.16
-4.22,0.81,1.86,0.00,3.93,0.17
-4.07,0.70,3.63,0.06,3.83,0.19
-4.14,-0.42,5.19,0.18,3.73,0.18
-4.24,-0.39,6.99,0.16,3.66,0.11
-3.83,0.06,8.90,0.23,3.58,0.09
-3.52,-0.41,11.09,0.33,3.47,0.05
-2.86,-0.74,13.51,0.29,3.38,-0.02
-1.92,-1.16,16.04,0.23,3.27,-0.08
-0.66,-1.56,19.46,0.19,3.09,-0.23
0.31,-1.07,22.62,0.01,2.72,-0.30
0.90,-0.22,24.38,-0.08,2.18,-0.27
1.54,-0.27,25.07,0.04,1.61,-0.20
1.64,-1.55,25.23,0.18,1.08,-0.22
1.60,-2.48,24.88,0.17,0.63,-0.36
1.55,-2.82,24.63,0.17,0.25,-0.51
