aX,aY,aZ,gX,gY,gZ
0.28,0.86,19.91,0.09,0.07,0.03
0.27,0.73,20.02,0.15,0.06,0.06
0.21,0.38,20.00,0.19,0.05,0.06
0.22,0.24,19.86,0.18,0.05,0.04
0.20,0.37,19.72,0.15,0.08,0.03
0.28,0.60,19.92,0.12,0.11,0.02
0.50,0.76,20.24,0.14,0.10,0.03
0.49,0.63,20.41,0.16,0.07,0.04
0.41,0.43,20.31,0.18,0.04,0.04
0.35,0.34,20.13,0.17,0.04,0.01
0.39,0.49,20.00,0.18,0.06,-0.00
0.63,0.66,19.95,0.20,0.09,0.01
0.75,0.68,20.06,0.21,0.09,0.02
0.93,0.48,20.30,0.22,0.07,0.03
1.05,0.26,20.17,0.19,0.06,0.03
1.29,0.20,19.98,0.14,0.07,0.01
1.77,0.10,19.67,0.11,0.12,-0.01
3.06,0.01,19.46,0.14,0.20,-0.03
4.87,-0.15,19.76,0.22,0.29,-0.04
7.41,-0.62,21.02,0.23,0.35,-0.04
9.91,-1.51,22.44,0.16,0.32,-0.08
11.87,-1.59,23.11,-0.02,0.23,-0.18
13.61,0.23,22.41,-0.23,0.13,-0.27
14.68,3.30,22.67,-0.21,0.07,-0.17
15.53,5.68,23.60,0.15,-0.07,0.13
15.47,5.64,24.59,0.71,-0.37,0.43
14.24,3.33,24.91,1.10,-0.76,0.67
11.93,-0.89,23.83,1.01,-1.14,0.71
9.22,-2.14,20.33,0.02,-1.21,0.60
6.07,1.98,18.91,-1.12,-0.91,0.72
2.73,5.32,17.97,-1.35,-0.69,1.02
-1.87,6.28,17.93,-0.67,-0.56,1.28
-5.87,3.05,18.52,0.48,-0.57,1.18
-8.22,0.22,19.06,0.86,-0.51,0.86
-9.33,-1.74,20.54,0.65,-0.40,0.49
-10.02,-0.82,21.02,0.04,-0.36,0.09
-9.69,3.04,22.08,-0.38,-0.42,0.02
-11.12,4.37,21.42,-0.18,-0.61,0.25
-14.37,1.51,19.06,0.17,-0.65,0.33
-15.57,1.32,17.41,0.34,-0.41,0.13
-15.71,1.49,17.44,0.56,-0.11,0.03
-16.13,1.22,17.15,0.55,0.18,0.01
-15.41,1.18,18.10,0.26,0.43,0.05
-14.65,1.47,19.10,0.02,0.51,0.12
-13.88,0.80,19.28,-0.17,0.48,0.25
-13.65,-0.03,18.24,-0.37,0.49,0.30
-12.56,0.12,17.88,-0.40,0.68,0.22
-12.05,0.00,16.98,-0.30,0.42,0.24
-12.70,1.01,17.03,0.01,0.65,0.22
-12.14,0.60,18.16,0.26,0.80,0.26
-11.88,-0.31,19.52,0.17,0.69,0.28
-10.53,-0.97,19.99,-0.14,0.53,0.26
-11.32,-0.31,18.09,-0.36,0.57,0.15
-9.31,0.92,19.05,0.04,0.83,-0.03
-7.59,0.93,20.90,0.49,0.81,-0.15
-5.93,0.76,22.00,0.67,0.63,-0.18
-4.58,-0.23,22.03,0.55,0.42,-0.21
-4.16,-0.35,19.95,0.30,0.28,-0.48
-2.24,1.65,18.20,0.17,0.42,-0.79
-0.14,3.37,17.38,0.41,0.59,-0.92
1.09,4.09,16.97,0.78,0.76,-0.99
3.54,4.68,19.22,1.10,0.88,-0.97
5.23,4.19,21.45,1.26,0.83,-0.94
7.08,3.68,23.16,1.19,0.72,-0.98
9.20,3.10,23.81,1.00,0.55,-1.04
10.64,3.41,22.70,0.83,0.43,-1.13
13.47,4.53,21.60,0.92,0.42,-1.13
15.19,4.79,21.99,1.13,0.38,-0.96
15.84,3.91,22.73,1.17,0.34,-0.77
16.27,3.16,24.47,0.95,0.34,-0.59
16.88,2.74,26.16,0.59,0.28,-0.40
16.75,1.77,25.93,0.17,0.14,-0.20
