aX,aY,aZ,gX,gY,gZ
-5.39,17.90,7.22,0.37,-0.70,-0.26
1.55,12.00,7.86,-0.03,-0.39,-0.01
1.15,12.89,6.49,-0.07,-0.41,0.02
0.42,13.43,5.56,0.06,-0.43,0.14
-0.56,12.85,3.93,0.17,-0.40,0.20
-1.20,12.19,2.56,0.21,-0.38,0.21
-1.32,11.74,1.20,0.19,-0.20,0.33
-2.23,10.60,0.34,0.14,-0.05,0.49
-2.90,9.80,-0.34,0.06,0.19,0.64
-3.48,8.94,-0.66,0.09,0.39,0.66
-3.95,6.94,-1.44,0.13,0.64,0.64
-3.80,5.15,-1.42,0.01,0.97,0.60
-3.52,3.34,-0.25,-0.10,1.22,0.62
-3.34,1.19,1.73,-0.24,1.46,0.62
-2.63,-1.33,3.94,-0.33,1.59,0.50
-2.21,-2.95,6.11,-0.45,1.70,0.25
-1.87,-2.09,8.12,-0.46,1.85,-0.09
-1.89,-1.72,9.43,-0.29,1.99,-0.39
-1.42,-2.62,10.89,-0.23,2.11,-0.65
-1.22,-2.47,12.03,-0.27,2.08,-0.78
-2.02,-1.23,12.93,-0.41,2.01,-0.81
-2.62,0.86,13.48,-0.41,2.00,-0.72
-3.02,0.19,14.61,-0.27,2.03,-0.72
-2.25,-1.64,16.80,-0.29,1.97,-1.08
-2.18,0.43,16.90,-0.30,1.83,-1.37
-2.74,0.46,16.67,-0.15,1.75,-1.58
-2.84,1.14,16.93,-0.19,1.70,-1.69
-3.44,2.84,17.58,-0.22,1.57,-1.66
-4.13,5.52,18.14,-0.16,1.50,-1.65
-4.34,7.38,18.88,0.08,1.45,-1.58
-4.64,6.47,19.93,0.31,1.40,-1.57
-4.36,4.07,21.91,0.15,1.24,-1.79
-4.01,6.94,22.36,-0.16,0.97,-2.03
-4.75,9.89,22.69,-0.06,0.76,-2.18
-4.75,10.46,24.05,-0.03,0.47,-2.23
-5.13,12.81,24.11,-0.17,0.15,-2.16
-5.61,14.20,23.37,-0.19,-0.13,-1.93
-6.38,14.08,22.58,-0.10,-0.27,-1.84
-6.56,14.53,22.76,-0.00,-0.39,-1.87
-6.01,14.43,23.28,0.01,-0.60,-1.85
-5.57,15.61,23.75,-0.12,-0.89,-1.80
-5.66,16.74,22.71,-0.12,-1.28,-1.68
-6.31,17.60,21.24,-0.04,-1.50,-1.59
-7.12,18.21,19.91,0.17,-1.61,-1.59
-7.54,18.27,18.98,0.38,-1.68,-1.58
-7.42,18.92,19.10,0.46,-1.79,-1.48
-7.31,19.47,18.36,0.51,-2.03,-1.29
-7.42,19.27,16.74,0.51,-2.24,-1.06
-7.40,19.40,15.19,0.50,-2.39,-0.89
-7.50,19.65,13.58,0.54,-2.50,-0.74
-8.01,20.05,12.17,0.61,-2.54,-0.61
-8.56,20.69,11.07,0.73,-2.52,-0.46
-8.66,20.86,10.42,0.80,-2.50,-0.30
-8.47,20.80,10.01,0.77,-2.48,-0.01
-8.39,20.12,9.20,0.69,-2.48,0.26
-8.25,20.37,8.03,0.57,-2.48,0.51
-8.58,20.78,6.50,0.59,-2.39,0.73
-8.61,20.65,5.76,0.67,-2.25,0.86
-8.30,20.58,5.48,0.69,-2.12,1.04
-8.17,20.69,5.74,0.62,-2.01,1.28
-8.09,20.26,5.60,0.55,-1.95,1.56
-8.36,19.10,4.81,0.45,-1.89,1.83
-8.48,18.27,3.64,0.41,-1.77,2.04
-8.84,17.52,2.46,0.42,-1.61,2.22
-9.20,16.67,1.37,0.43,-1.38,2.44
-9.15,15.69,0.74,0.46,-1.16,2.55
-9.16,14.20,0.08,0.44,-0.93,2.70
-9.02,12.80,-0.55,0.39,-0.70,2.80
-8.60,11.14,-1.33,0.31,-0.51,2.89
-8.68,9.59,-2.65,0.14,-0.29,3.06
-8.80,8.05,-3.54,0.05,-0.06,3.13
-9.63,6.05,-4.51,0.08,0.26,3.09
-9.68,5.01,-4.17,0.06,0.66,3.01
-9.27,4.06,-3.10,0.12,1.01,2.91
-8.74,2.36,-2.10,0.12,1.28,2.86
-8.29,0.57,-1.42,0.04,1.53,2.86
-8.03,-1.63,-0.73,-0.06,1.77,2.83
